patient,status,sample,lane,fastq_1,fastq_2
id_36,0,id_36,ol,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC36/VE-3293-SC36_S50_L002_R1_001.fastq.gz,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC36/VE-3293-SC36_S50_L002_R2_001.fastq.gz
id_39,0,id_39,ol,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC39/VE-3293-SC39_S53_L002_R1_001.fastq.gz,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC39/VE-3293-SC39_S53_L002_R2_001.fastq.gz
id_19,0,id_19,ol,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC19/VE-3293-SC19_S33_L002_R1_001.fastq.gz,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC19/VE-3293-SC19_S33_L002_R2_001.fastq.gz
id_26,0,id_26,ol,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC26/VE-3293-SC26_S40_L002_R1_001.fastq.gz,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC26/VE-3293-SC26_S40_L002_R2_001.fastq.gz
id_05,0,id_05,ol,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC5/VE-3293-SC5_S20_L002_R1_001.fastq.gz,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC5/VE-3293-SC5_S20_L002_R2_001.fastq.gz
id_21,0,id_21,ol,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC21/VE-3293-SC21_S35_L002_R1_001.fastq.gz,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC21/VE-3293-SC21_S35_L002_R2_001.fastq.gz
id_12,0,id_12,ol,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC12/VE-3293-SC12_S26_L002_R1_001.fastq.gz,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC12/VE-3293-SC12_S26_L002_R2_001.fastq.gz
id_16,0,id_16,ol,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC16/VE-3293-SC16_S30_L002_R1_001.fastq.gz,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC16/VE-3293-SC16_S30_L002_R2_001.fastq.gz
id_45,0,id_45,ol,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC45/VE-3293-SC45_S59_L002_R1_001.fastq.gz,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC45/VE-3293-SC45_S59_L002_R2_001.fastq.gz
id_32,0,id_32,ol,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC32/VE-3293-SC32_S46_L002_R1_001.fastq.gz,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC32/VE-3293-SC32_S46_L002_R2_001.fastq.gz
id_44,0,id_44,ol,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC44/VE-3293-SC44_S58_L002_R1_001.fastq.gz,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC44/VE-3293-SC44_S58_L002_R2_001.fastq.gz
id_42,0,id_42,ol,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC42/VE-3293-SC42_S56_L002_R1_001.fastq.gz,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC42/VE-3293-SC42_S56_L002_R2_001.fastq.gz
id_22,0,id_22,ol,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC22/VE-3293-SC22_S36_L002_R1_001.fastq.gz,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC22/VE-3293-SC22_S36_L002_R2_001.fastq.gz
id_14,0,id_14,ol,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC14/VE-3293-SC14_S28_L002_R1_001.fastq.gz,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC14/VE-3293-SC14_S28_L002_R2_001.fastq.gz
id_23,0,id_23,ol,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC23/VE-3293-SC23_S37_L002_R1_001.fastq.gz,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC23/VE-3293-SC23_S37_L002_R2_001.fastq.gz
id_41,0,id_41,ol,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC41/VE-3293-SC41_S55_L002_R1_001.fastq.gz,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC41/VE-3293-SC41_S55_L002_R2_001.fastq.gz
id_02,0,id_02,ol,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC2/VE-3293-SC2_S17_L002_R1_001.fastq.gz,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC2/VE-3293-SC2_S17_L002_R2_001.fastq.gz
id_29,0,id_29,ol,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC29/VE-3293-SC29_S43_L002_R1_001.fastq.gz,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC29/VE-3293-SC29_S43_L002_R2_001.fastq.gz
id_46,0,id_46,ol,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC46/VE-3293-SC46_S60_L002_R1_001.fastq.gz,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC46/VE-3293-SC46_S60_L002_R2_001.fastq.gz
id_28,0,id_28,ol,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC28/VE-3293-SC28_S42_L002_R1_001.fastq.gz,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC28/VE-3293-SC28_S42_L002_R2_001.fastq.gz
id_08,0,id_08,ol,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC8/VE-3293-SC8_S23_L002_R1_001.fastq.gz,/cfs/klemming/projects/snic/sllstore2017078/single_cell/genomes/all_genomes/Sample_VE-3293-SC8/VE-3293-SC8_S23_L002_R2_001.fastq.gz
